product_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
home_confort,housewares,furniture_decor,bed_bath_table,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,home_construction,home_confort,home_comfort_2,home_appliances,la_cuisine,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_bedroom,home_appliances_2,luggage_accessories,market_place,music
home_construction,construction_tools_lights,garden_tools,computers_accessories,auto,bed_bath_table,housewares,furniture_decor,luggage_accessories,la_cuisine,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,home_comfort_2,home_confort,home_appliances_2,home_appliances,health_beauty,furniture_mattress_and_upholstery,furniture_living_room,home_construction,market_place
housewares,home_confort,auto,home_construction,kitchen_dining_laundry_garden_furniture,small_appliances,electronics,drinks,market_place,unknown,furniture_decor,toys,garden_tools,bed_bath_table,computers_accessories,sports_leisure,watches_gifts,food_drink,perfumery,baby,construction_tools_construction
industry_commerce_and_business,cool_stuff,furniture_decor,agro_industry_and_commerce,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,home_appliances_2,home_appliances,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_bedroom,kitchen_dining_laundry_garden_furniture,la_cuisine,luggage_accessories,market_place,toys
kitchen_dining_laundry_garden_furniture,housewares,bed_bath_table,furniture_decor,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,home_construction,home_confort,home_comfort_2,home_appliances,la_cuisine,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_bedroom,home_appliances_2,luggage_accessories,market_place,music
la_cuisine,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
luggage_accessories,auto,fashion_bags_accessories,computers_accessories,garden_tools,stationery,sports_leisure,health_beauty,agro_industry_and_commerce,industry_commerce_and_business,housewares,home_construction,home_confort,home_appliances,home_appliances_2,kitchen_dining_laundry_garden_furniture,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,home_comfort_2,la_cuisine
market_place,furniture_decor,housewares,sports_leisure,books_general_interest,bed_bath_table,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,home_construction,home_confort,home_comfort_2,home_appliances,la_cuisine,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,home_appliances_2,luggage_accessories,music
music,books_technical,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,home_appliances_2,home_appliances,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,la_cuisine,luggage_accessories,market_place,music
musical_instruments,auto,fashion_bags_accessories,toys,bed_bath_table,agro_industry_and_commerce,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,home_appliances_2,home_appliances,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,kitchen_dining_laundry_garden_furniture,la_cuisine,market_place
